Genome,Quality,Completeness,Contamination,Domain,Phylum,Class,Order,Family,Genus,Species
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.14,High,96.48,0.98,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA4285,UBA4285 sp903789615
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.30,High,94.58,1.31,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp022486815
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.36,High,93.5,2.53,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia timonensis
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.37,High,94.87,1.64,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,RUG844,RUG844,Unclassified
Y5_8_19E_assembly-bin.10,High,99.65,0.19,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
Y5_8_28_concat_25pcnt_copy1_Sub_assembly-bin.1,High,90.73,0.81,Bacteria,Bacillota_A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus sp943914475
Y5_8_28_concat_25pcnt_copy1_Sub_assembly-bin.10,High,93.01,1.24,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
Y5_8_28_concat_25pcnt_copy1_Sub_assembly-bin.12,High,99.21,1.34,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus
Y5_8_28_concat_25pcnt_copy1_Sub_assembly-bin.19,High,94.49,0.18,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_E,Bacteroides_E sp012518235
Y5_8_28_concat_25pcnt_copy1_Sub_assembly-bin.8,High,90.65,0.49,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,JALCQC01,JALCQC01 sp022650895
Y5_8_8_concat_25pcnt_copy1_Sub_assembly-bin.2,High,96.47,1.38,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacterium,Caproicibacterium sp029211325
Y5_9_2B_concat_25pcnt_copy1_Sub_assembly-bin.15,High,94.23,1.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus sp016861825
Y5_Co_assembly-bin.13,High,91.15,0.04,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,RUG100,Unclassified
Y5_Co_assembly-bin.6,High,93.14,2.79,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp012837295
Y5_Co_assembly-bin.70,High,93.4,0.61,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Hornefia,Hornefia butyriciproducens
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,88.7,0.55,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,UBA7748,UBA7748 sp900314535
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.11,Medium,84.09,3.22,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp900319505
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.13,Medium,55.94,1.81,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp022484225
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,Medium,76.27,0.02,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Weimeria,Weimeria bifida
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.16,Medium,88.22,1.29,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.17,Medium,83.33,1.73,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,Parafannyhessea sp003862195
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.5,Medium,81.73,1.2,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Unclassified
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.7,Medium,66.75,0.09,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Weimeria,Weimeria sp900316165
H1_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,79.97,3.91,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Eubacterium_T sp905214225
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.1,Medium,74.18,0.04,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp022483245
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,81.13,3.12,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus intestinavium
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.12,Medium,57.29,1.41,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.3,Medium,85.07,0.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp944327175
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.6,Medium,76.04,1.09,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum
H2_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,84.13,0.06,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
H2_20WD_concat_50pcnt_copy1_Sub_assembly-bin.12,Medium,72.37,0.66,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Aeriscardovia,Aeriscardovia sp903789535
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.14,Medium,76.36,1.95,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.21,Medium,61.71,0.15,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Unclassified
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.4,Medium,55.87,3.74,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter fermentans
H4_20WD_concat_50pcnt_copy1_Sub_assembly-bin.9,Medium,63.89,1.38,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,Lactococcus_A carnosus
H4_20WD_concat_50pcnt_copy3_Sub_assembly-bin.5,Medium,68.95,0.02,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp944327175
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.13,Medium,88.47,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp905214545
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.8,Medium,77.21,0.79,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus acidipiscis
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,88.89,1.02,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acetotolerans
W7_8_14A_concat_50pcnt_copy1_Sub_assembly-bin.16,Medium,52.58,0.02,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CAIFEG01,Unclassified
W7_8_14A_concat_50pcnt_copy1_Sub_assembly-bin.8,Medium,66.45,1.61,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.1,Medium,55.07,2.29,Bacteria,Bacillota,Bacilli,MOL361,Turicibacteraceae,Turicibacter,Turicibacter bilis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,77.15,9.43,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.2,Medium,67.82,8.25,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,JAUNQW01,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.20,Medium,63.27,7.51,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E iridis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.22,Medium,51.44,0.49,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rahnella,Rahnella aceris
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.25,Medium,73.48,0.13,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp905214545
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.26,Medium,68.41,3.55,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E paracarnis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.3,Medium,86.58,3.25,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.32,Medium,61.78,2.8,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,CALBOC01,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.14,Medium,56.78,0.15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yersinia,Yersinia intermedia
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.15,Medium,61.99,2.44,Bacteria,Bacillota,Bacilli,Staphylococcales,Salinicoccaceae,Jeotgalicoccus,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.23,Medium,66.19,1.55,Bacteria,Bacillota_A,Clostridia,Tissierellales,Tissierellaceae,Tissierella_A,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.27,Medium,61.21,0.02,Bacteria,Bacillota,Bacilli,Bacillales_A,Planococcaceae,Planococcus,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.32,Medium,70.51,0.21,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp012838715
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.4,Medium,51.16,1.05,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Unclassified
W7_8_8A_concat_25pcnt_copy1_Sub_assembly-bin.13,Medium,82.54,2.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,82.83,0.66,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Eubacterium_T saphenum_A
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.12,Medium,50.25,0.36,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister hominis
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.16,Medium,85.08,0.02,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.17,Medium,84.43,2.43,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia intestinalis
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.18,Medium,56.95,0.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D innesii
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.20,Medium,82.44,1.06,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002409785
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.21,Medium,86.94,0.86,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacter,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.25,Medium,88.32,3.65,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,Parafannyhessea sp003862195
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.29,Medium,62.11,0.03,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.31,Medium,68.34,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.33,Medium,50.58,0.16,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium boum
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.34,Medium,54.37,0.34,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.39,Medium,84.76,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002305235
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.8,Medium,52.39,0.33,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium boum
Y5_8_14_concat_25pcnt_copy2_Sub_assembly-bin.42,Medium,58.76,5.01,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D innesii
Y5_8_14_concat_50pcnt_copy1_Sub_assembly-bin.24,Medium,74.88,0.68,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,Unclassified
Y5_8_14_concat_50pcnt_copy1_Sub_assembly-bin.3,Medium,68.87,1.47,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mobilitalea,Unclassified
Y5_8_14_concat_50pcnt_copy1_Sub_assembly-bin.34,Medium,60.54,0.03,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaeequi
Y5_8_19E_assembly-bin.11,Medium,78.33,0.56,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylolyticus
Y5_8_28_concat_25pcnt_copy1_Sub_assembly-bin.11,Medium,76.78,0.94,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_E,Bacteroides_E sp030151845
Y5_8_8_concat_25pcnt_copy3_Sub_assembly-bin.1,Medium,63.55,3.57,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D innesii
Y5_9_2B_concat_25pcnt_copy1_Sub_assembly-bin.3,Medium,73.28,0.48,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Changpingibacter,Changpingibacter sp022648165
Y5_9_2B_concat_25pcnt_copy3_Sub_assembly-bin.20,Medium,81.71,0.47,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus acidipiscis
Y5_9_2B_concat_50pcnt_copy1_Sub_assembly-bin.32,Medium,81.39,2.26,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus buchneri
Y5_9_9B_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,52.81,0.07,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacter,Unclassified
Y5_Co_assembly-bin.1,Medium,80.57,1.75,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus
Y5_Co_assembly-bin.100,Medium,60.07,0.36,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Unclassified
Y5_Co_assembly-bin.124,Medium,76.22,1.71,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_C,Enterococcus_C stercoravium
Y5_Co_assembly-bin.138,Medium,72.02,4.89,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp900321785
Y5_Co_assembly-bin.146,Medium,54.9,1.4,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,Anaerotruncus sp938014855
Y5_Co_assembly-bin.163,Medium,69.38,2.83,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacter,Unclassified
Y5_Co_assembly-bin.164,Medium,70.89,4.57,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,,Unclassified
Y5_Co_assembly-bin.27,Medium,82.38,6.19,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Proteiniphilum saccharofermentans
Y5_Co_assembly-bin.39,Medium,80.06,0.51,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Unclassified
Y5_Co_assembly-bin.50,Medium,69.73,0,Bacteria,Bacillota_A,Clostridia,Tissierellales,Peptoniphilaceae,Peptoniphilus_A,Unclassified
Y5_Co_assembly-bin.64,Medium,87.71,2.39,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Hugonella,Hugonella sp022644775
Y5_Co_assembly-bin.74,Medium,79.32,2.81,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacter,Unclassified
Y5_Co_assembly-bin.76,Medium,67.09,3.2,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis merdipullorum
Y5_Co_assembly-bin.99,Medium,79.89,0.84,Bacteria,Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Aminobacterium,Aminobacterium sp002432275
