Genome,Quality,Completeness,Contamination,Domain,Phylum,Class,Order,Family,Genus,Species
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.21,Medium,61.71,0.15,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Unclassified
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.4,Medium,55.87,3.74,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter fermentans
H3_20WD_concat_25pcnt_copy1_Sub_assembly-bin.9,"Very
Low",56.08,29.67,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter sp022484225
H3_20WD_concat_25pcnt_copy3_Sub_assembly-bin.1,Low,13.83,0,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter fermentans
H4_20WD_concat_25pcnt_copy1_Sub_assembly-bin.10,Low,8.68,0.11,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
H4_20WD_concat_25pcnt_copy1_Sub_assembly-bin.2,Low,36.77,0.04,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
H4_20WD_concat_25pcnt_copy3_Sub_assembly-bin.3,Low,14.36,0.02,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
H4_20WD_concat_50pcnt_copy1_Sub_assembly-bin.8,Low,32.52,0.06,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus absianus
H4_20WD_concat_50pcnt_copy1_Sub_assembly-bin.9,Medium,63.89,1.38,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,Lactococcus_A carnosus
H4_20WD_concat_50pcnt_copy3_Sub_assembly-bin.5,Medium,68.95,0.02,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp944327175
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.1,Low,36.21,0.07,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.10,Low,46.75,0.36,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus sp022482365
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.11,High,90.47,0.13,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Aeriscardovia,Aeriscardovia sp903789535
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.12,Low,15.9,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.13,Medium,88.47,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp905214545
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.2,Low,32.83,0.02,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.3,Low,45.59,0.32,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus sp022482365
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.4,Low,13.28,0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.5,High,91.49,1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus intestinavium
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.6,High,100,0.18,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_B,Clostridium_B sp003497125
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.7,High,90.22,1.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus panis
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.8,Medium,77.21,0.79,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus acidipiscis
W7_8_14A_concat_25pcnt_copy1_Sub_assembly-bin.9,Medium,88.89,1.02,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acetotolerans
W7_8_14A_concat_25pcnt_copy2_Sub_assembly-bin.13,Low,13.61,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_14A_concat_50pcnt_copy1_Sub_assembly-bin.16,Medium,52.58,0.02,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CAIFEG01,Unclassified
W7_8_14A_concat_50pcnt_copy1_Sub_assembly-bin.8,Medium,66.45,1.61,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.1,Medium,55.07,2.29,Bacteria,Bacillota,Bacilli,MOL361,Turicibacteraceae,Turicibacter,Turicibacter bilis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,77.15,9.43,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.12,"Very
Low",84.31,10.66,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sivasensis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.15,"Very
Low",62.52,15.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Janthinobacterium,Janthinobacterium tructae
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.17,Low,20.32,1.39,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.18,Low,6.6,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.2,Medium,67.82,8.25,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,JAUNQW01,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.20,Medium,63.27,7.51,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E iridis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.21,Low,34.62,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E veronii
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.22,Medium,51.44,0.49,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rahnella,Rahnella aceris
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.23,Low,10.72,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter maritimus
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.24,High,100,0.68,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.25,Medium,73.48,0.13,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp905214545
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.26,Medium,68.41,3.55,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E paracarnis
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.27,Low,20.57,0.42,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.29,High,94.58,1.32,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium maris
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.3,Medium,86.58,3.25,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.30,Low,11.84,0.09,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter maritimus
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.32,Medium,61.78,2.8,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,CALBOC01,Unclassified
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.33,Low,14.73,0.95,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium_A,Carnobacterium_A viridans
W7_8_19_concat_25pcnt_copy1_Sub_assembly-bin.5,"Very
Low",90.95,61.42,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E shahriarae
W7_8_19_concat_25pcnt_copy2_Sub_assembly-bin.11,Low,7.3,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_25pcnt_copy2_Sub_assembly-bin.18,Low,4.3,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_25pcnt_copy2_Sub_assembly-bin.7,Low,16.46,0.03,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Janthinobacterium,Janthinobacterium sp009923995
W7_8_19_concat_25pcnt_copy2_Sub_assembly-bin.8,High,93.8,3.13,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Pseudogracilibacillus,Unclassified
W7_8_19_concat_25pcnt_copy3_Sub_assembly-bin.3,Low,4.88,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_25pcnt_copy3_Sub_assembly-bin.34,Low,5.11,0.21,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.1,Low,10.64,0,Bacteria,Bacillota,Bacilli,Staphylococcales,Salinicoccaceae,Salinicoccus,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.14,Medium,56.78,0.15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yersinia,Yersinia intermedia
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.15,Medium,61.99,2.44,Bacteria,Bacillota,Bacilli,Staphylococcales,Salinicoccaceae,Jeotgalicoccus,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.21,Low,22.29,1.13,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E parakoreensis
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.23,Medium,66.19,1.55,Bacteria,Bacillota_A,Clostridia,Tissierellales,Tissierellaceae,Tissierella_A,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.24,Low,34.27,0.32,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,CALBOC01,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.26,Low,25.54,4.04,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.27,Medium,61.21,0.02,Bacteria,Bacillota,Bacilli,Bacillales_A,Planococcaceae,Planococcus,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.31,Low,25.32,0,Bacteria,Bacillota,Bacilli,Staphylococcales,Salinicoccaceae,Salinicoccus,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.32,Medium,70.51,0.21,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium sp012838715
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.37,Low,18.74,0.02,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E bubulae
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.4,Medium,51.16,1.05,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.43,Low,4.86,0.01,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.47,Low,9.81,0.06,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.50,"Very
Low",69.41,19.95,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E iridis
W7_8_19_concat_50pcnt_copy1_Sub_assembly-bin.52,Low,38.08,0.71,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Pseudogracilibacillus,Unclassified
W7_8_19_concat_50pcnt_copy2_Sub_assembly-bin.37,Low,10.4,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_50pcnt_copy2_Sub_assembly-bin.41,Low,24.51,3.48,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Unclassified
W7_8_19_concat_50pcnt_copy3_Sub_assembly-bin.39,Low,4.65,0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
W7_8_19_concat_50pcnt_copy3_Sub_assembly-bin.5,Low,26.92,5.81,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sivasensis
W7_8_8A_concat_25pcnt_copy1_Sub_assembly-bin.11,Low,40.22,0.15,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Unclassified
W7_8_8A_concat_25pcnt_copy1_Sub_assembly-bin.13,Medium,82.54,2.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus
W7_8_8A_concat_25pcnt_copy1_Sub_assembly-bin.16,Low,16.72,0.01,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Unclassified
W7_8_8A_concat_25pcnt_copy1_Sub_assembly-bin.3,"Very
Low",63.15,10.15,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.1,Low,9.98,0,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Bilifractor,Bilifractor sp900318405
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.10,Medium,82.83,0.66,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Eubacterium_T saphenum_A
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.11,High,94.78,1.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_B,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.12,Medium,50.25,0.36,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister hominis
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.13,Low,32.84,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.14,High,96.48,0.98,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA4285,UBA4285 sp903789615
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.15,Low,16.76,0.13,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.16,Medium,85.08,0.02,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.17,Medium,84.43,2.43,Bacteria,Bacillota_I,Bacilli_A,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia intestinalis
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.18,Medium,56.95,0.7,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D innesii
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.19,Low,42.02,1.7,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olegusella,Olegusella sp002407925
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.2,Low,20.48,0.31,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter fermentans
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.20,Medium,82.44,1.06,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002409785
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.21,Medium,86.94,0.86,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacter,Unclassified
Y5_8_14_concat_25pcnt_copy1_Sub_assembly-bin.22,Low,34.44,0,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister hominis
